Accession.ID	country	Pango.lineage
EPI_ISL_11451063	Germany	BA.2
EPI_ISL_10918955	Germany	BA.2
EPI_ISL_11656548	Germany	BA.2
EPI_ISL_12014544	Germany	BA.2
EPI_ISL_12092538	Israel	BA.2
EPI_ISL_11589097	Germany	BA.2
EPI_ISL_11967379	Germany	BA.2
EPI_ISL_10921947	Germany	BA.2
EPI_ISL_10916159	Germany	BA.2
EPI_ISL_11598000	Germany	BA.2
EPI_ISL_9180239	Sweden	BA.2
EPI_ISL_9696861	Sweden	BA.2
EPI_ISL_11656282	Norway	BA.2
EPI_ISL_10813274	Denmark	BA.2
EPI_ISL_10063222	Denmark	BA.2
EPI_ISL_11645161	United Kingdom	BA.2
EPI_ISL_11609189	Germany	BA.2
EPI_ISL_11858749	Sweden	BA.2
EPI_ISL_11593531	United Kingdom	BA.2
EPI_ISL_12158088	Denmark	BA.2
EPI_ISL_11443931	Denmark	BA.2
EPI_ISL_12144631	Austria	BA.2
EPI_ISL_11794433	Sweden	BA.2
EPI_ISL_10909272	Sweden	BA.2
EPI_ISL_10201694	Denmark	BA.2
EPI_ISL_12130824	Switzerland	BA.2
EPI_ISL_11130651	Switzerland	BA.2
EPI_ISL_10899675	Netherlands	BA.2
EPI_ISL_11843149	USA	BA.2
EPI_ISL_11519621	Denmark	BA.2
EPI_ISL_12178268	United Kingdom	BA.2
EPI_ISL_11723317	Denmark	BA.2
EPI_ISL_9410429	Denmark	BA.2
EPI_ISL_11876533	Denmark	BA.2
EPI_ISL_11516188	Denmark	BA.2
EPI_ISL_11117797	Denmark	BA.2
EPI_ISL_11157517	Denmark	BA.2
EPI_ISL_11275939	Denmark	BA.2
EPI_ISL_11789191	Denmark	BA.2
EPI_ISL_11988015	Denmark	BA.2
EPI_ISL_12163376	Denmark	BA.2
EPI_ISL_11549969	Denmark	BA.2
EPI_ISL_11027019	Denmark	BA.2
EPI_ISL_11381640	Denmark	BA.2
EPI_ISL_10252987	Denmark	BA.2
EPI_ISL_9270072	Denmark	BA.2
EPI_ISL_10093901	Denmark	BA.2
EPI_ISL_9690267	Denmark	BA.2
EPI_ISL_10093510	Denmark	BA.2
EPI_ISL_10208970	Denmark	BA.2
EPI_ISL_11914359	Denmark	BA.2
EPI_ISL_10934468	Denmark	BA.2
EPI_ISL_10731065	Denmark	BA.2
EPI_ISL_10731835	Denmark	BA.2
EPI_ISL_12162776	Denmark	BA.2
EPI_ISL_12165818	Denmark	BA.2
EPI_ISL_12137754	Denmark	BA.2
EPI_ISL_12137938	Denmark	BA.2
EPI_ISL_12187509	Germany	BA.2
EPI_ISL_11618461	Germany	BA.2
EPI_ISL_8770126	Sweden	BA.2
EPI_ISL_10206252	Denmark	BA.2
EPI_ISL_10210782	Denmark	BA.2
EPI_ISL_11025033	Denmark	BA.2
EPI_ISL_11210721	Denmark	BA.2
EPI_ISL_11873226	Denmark	BA.2
EPI_ISL_11289074	Denmark	BA.2
EPI_ISL_12014688	Germany	BA.2
EPI_ISL_9070889	Denmark	BA.2
EPI_ISL_11913608	Denmark	BA.2
EPI_ISL_12201568	Germany	BA.2
EPI_ISL_11781712	Denmark	BA.2
EPI_ISL_11317982	Denmark	BA.2
EPI_ISL_11515243	Denmark	BA.2
EPI_ISL_10586837	Denmark	BA.2
EPI_ISL_11880181	Denmark	BA.2
EPI_ISL_10983086	Denmark	BA.2
EPI_ISL_11518201	Denmark	BA.2
EPI_ISL_11990943	Denmark	BA.2
EPI_ISL_12162167	Denmark	BA.2
EPI_ISL_11991157	Denmark	BA.2
EPI_ISL_12138180	Denmark	BA.2
EPI_ISL_11518209	Denmark	BA.2
EPI_ISL_11285205	Denmark	BA.2
EPI_ISL_11987741	Denmark	BA.2
EPI_ISL_10507148	Denmark	BA.2
EPI_ISL_10509981	Denmark	BA.2
EPI_ISL_11651246	Denmark	BA.2
EPI_ISL_11785070	Denmark	BA.2
EPI_ISL_10211409	Denmark	BA.2
EPI_ISL_10911580	Germany	BA.2
EPI_ISL_11288301	Denmark	BA.2
EPI_ISL_11784908	Denmark	BA.2
EPI_ISL_11649241	Denmark	BA.2
EPI_ISL_11876565	Denmark	BA.2
EPI_ISL_11345609	Denmark	BA.2
EPI_ISL_10983990	Denmark	BA.2
EPI_ISL_10679618	Denmark	BA.2
EPI_ISL_10891980	Denmark	BA.2
EPI_ISL_11878389	Denmark	BA.2
EPI_ISL_10317859	Denmark	BA.2
EPI_ISL_11444576	Denmark	BA.2
EPI_ISL_11823884	Switzerland	BA.2
EPI_ISL_11647755	Germany	BA.2
EPI_ISL_11807207	Denmark	BA.2
EPI_ISL_11987721	Denmark	BA.2
EPI_ISL_10065342	Denmark	BA.2
EPI_ISL_10891650	Denmark	BA.2
EPI_ISL_11551153	Denmark	BA.2
EPI_ISL_11444037	Denmark	BA.2
EPI_ISL_11589524	United Kingdom	BA.2
EPI_ISL_12162947	Denmark	BA.2
EPI_ISL_11989234	Denmark	BA.2
EPI_ISL_12165324	Denmark	BA.2
EPI_ISL_12108727	Netherlands	BA.2
EPI_ISL_11006060	United Kingdom	BA.2
EPI_ISL_11782737	Denmark	BA.2
EPI_ISL_12159212	Denmark	BA.2
EPI_ISL_11621593	USA	BA.2
EPI_ISL_11065593	Denmark	BA.2
EPI_ISL_11988941	Denmark	BA.2
EPI_ISL_11986824	Denmark	BA.2
EPI_ISL_11274428	Denmark	BA.2
EPI_ISL_11825432	France	BA.2
EPI_ISL_12133915	France	BA.2
EPI_ISL_10731719	Denmark	BA.2
EPI_ISL_12182034	USA	BA.2
EPI_ISL_12021997	Denmark	BA.2
EPI_ISL_11724328	Denmark	BA.2
EPI_ISL_11210541	Denmark	BA.2
EPI_ISL_10718611	France	BA.2
EPI_ISL_11028982	Denmark	BA.2
EPI_ISL_11157311	Denmark	BA.2
EPI_ISL_10511353	Denmark	BA.2
EPI_ISL_10862881	Denmark	BA.2
EPI_ISL_9904568	Denmark	BA.2
EPI_ISL_11807450	Denmark	BA.2
EPI_ISL_10218008	Denmark	BA.2
EPI_ISL_10351931	Denmark	BA.2
EPI_ISL_10511543	Denmark	BA.2
EPI_ISL_11721471	Denmark	BA.2
EPI_ISL_10201781	Denmark	BA.2
EPI_ISL_11876742	Denmark	BA.2
EPI_ISL_10750580	Germany	BA.2
EPI_ISL_10750564	Germany	BA.2
EPI_ISL_11877041	Denmark	BA.2
EPI_ISL_9451566	Denmark	BA.2
EPI_ISL_10207817	Denmark	BA.2
EPI_ISL_10399919	Denmark	BA.2
EPI_ISL_9971730	Denmark	BA.2
EPI_ISL_11551913	Denmark	BA.2
EPI_ISL_11786412	Denmark	BA.2
EPI_ISL_11116026	Denmark	BA.2
EPI_ISL_10401560	Denmark	BA.2
EPI_ISL_11346977	Denmark	BA.2
EPI_ISL_11318394	Denmark	BA.2
EPI_ISL_12137542	Denmark	BA.2
EPI_ISL_9167057	Denmark	BA.2
EPI_ISL_10891626	Denmark	BA.2
EPI_ISL_10892566	Denmark	BA.2
EPI_ISL_10204079	Denmark	BA.2
EPI_ISL_11752462	United Kingdom	BA.2
EPI_ISL_10211240	Denmark	BA.2
EPI_ISL_10257465	Denmark	BA.2
EPI_ISL_11028620	Denmark	BA.2
EPI_ISL_10732676	Denmark	BA.2
EPI_ISL_11211205	Denmark	BA.2
EPI_ISL_11516593	Denmark	BA.2
EPI_ISL_10013957	Denmark	BA.2
EPI_ISL_10983768	Denmark	BA.2
EPI_ISL_11876168	Denmark	BA.2
EPI_ISL_10319312	Denmark	BA.2
EPI_ISL_12158652	Denmark	BA.2
EPI_ISL_11209633	Denmark	BA.2
EPI_ISL_10100508	France	BA.2
EPI_ISL_11286316	Denmark	BA.2
EPI_ISL_9359914	Denmark	BA.2
EPI_ISL_9564642	Denmark	BA.2
EPI_ISL_10676925	Denmark	BA.2
EPI_ISL_10809789	Denmark	BA.2
EPI_ISL_11345515	Denmark	BA.2
EPI_ISL_11347223	Denmark	BA.2
EPI_ISL_11273846	Denmark	BA.2
EPI_ISL_10726291	United Kingdom	BA.2
EPI_ISL_10524972	United Kingdom	BA.2
EPI_ISL_10891914	Denmark	BA.2
EPI_ISL_11283593	Denmark	BA.2
EPI_ISL_11318332	Denmark	BA.2
EPI_ISL_9121583	Denmark	BA.2
EPI_ISL_9124182	Denmark	BA.2
EPI_ISL_9569642	Denmark	BA.2
EPI_ISL_10096923	Denmark	BA.2
EPI_ISL_10065509	Denmark	BA.2
EPI_ISL_12160949	Denmark	BA.2
EPI_ISL_11081889	France	BA.2
EPI_ISL_10893393	Denmark	BA.2
EPI_ISL_11285415	Denmark	BA.2
EPI_ISL_11807058	Denmark	BA.2
EPI_ISL_9651752	Denmark	BA.2
EPI_ISL_11516287	Denmark	BA.2
EPI_ISL_10201263	Denmark	BA.2
EPI_ISL_10918699	Germany	BA.2
EPI_ISL_10678852	Denmark	BA.2
EPI_ISL_11808104	Denmark	BA.2
EPI_ISL_10511143	Denmark	BA.2
EPI_ISL_10633641	Denmark	BA.2
EPI_ISL_11444283	Denmark	BA.2
EPI_ISL_10806865	Denmark	BA.2
EPI_ISL_11652981	United Kingdom	BA.2
EPI_ISL_10678317	Denmark	BA.2
EPI_ISL_9168100	Denmark	BA.2
EPI_ISL_10589427	United Kingdom	BA.2
EPI_ISL_11026952	Denmark	BA.2
EPI_ISL_9720431	Germany	BA.2
EPI_ISL_9495199	Denmark	BA.2
EPI_ISL_11028510	Denmark	BA.2
EPI_ISL_11780730	Denmark	BA.2
EPI_ISL_11158570	Denmark	BA.2
EPI_ISL_8886683	Denmark	BA.2
EPI_ISL_8418244	Denmark	BA.2
EPI_ISL_10732446	Denmark	BA.2
EPI_ISL_10921788	Germany	BA.2
EPI_ISL_9892094	United Kingdom	BA.2
EPI_ISL_11246297	Sweden	BA.2
EPI_ISL_11602687	United Kingdom	BA.2
EPI_ISL_10802163	United Kingdom	BA.2
EPI_ISL_11518867	Denmark	BA.2
EPI_ISL_11340369	United Kingdom	BA.2
EPI_ISL_11661561	United Kingdom	BA.2
EPI_ISL_11997727	USA	BA.2
EPI_ISL_12066217	United Kingdom	BA.2
EPI_ISL_11766218	Singapore	BA.2
EPI_ISL_11968681	United Kingdom	BA.2
EPI_ISL_12151876	United Kingdom	BA.2
EPI_ISL_11511616	United Kingdom	BA.2
EPI_ISL_12079524	United Kingdom	BA.2
EPI_ISL_12151979	United Kingdom	BA.2
EPI_ISL_12154464	Netherlands	BA.2
EPI_ISL_12068726	United Kingdom	BA.2.23
EPI_ISL_12117584	USA	BA.2.23
EPI_ISL_11038275	USA	BA.2.23
EPI_ISL_11632897	Australia	BA.2
EPI_ISL_11280780	Denmark	BA.2
EPI_ISL_11388888	United Kingdom	BA.2.10
EPI_ISL_10428425	United Kingdom	BA.2.10
EPI_ISL_11953963	Sweden	BA.2
EPI_ISL_9744096	Denmark	BA.2
EPI_ISL_12179679	France	BA.2
EPI_ISL_12031656	United Kingdom	BA.2
EPI_ISL_11784801	Denmark	BA.2
EPI_ISL_11518333	Denmark	BA.2
EPI_ISL_11986912	Denmark	BA.2
EPI_ISL_11788356	Denmark	BA.2
EPI_ISL_11987687	Denmark	BA.2
EPI_ISL_11276110	Denmark	BA.2
EPI_ISL_11989866	Denmark	BA.2
EPI_ISL_11516694	Denmark	BA.2
EPI_ISL_11381185	Denmark	BA.2
EPI_ISL_11277506	Denmark	BA.2
EPI_ISL_11209721	Denmark	BA.2
EPI_ISL_11347394	Denmark	BA.2
EPI_ISL_11724216	Denmark	BA.2
EPI_ISL_10399755	Denmark	BA.2
EPI_ISL_10506622	Denmark	BA.2
EPI_ISL_11181567	United Kingdom	BA.2
EPI_ISL_10016136	Denmark	BA.2
EPI_ISL_12163499	Denmark	BA.2
EPI_ISL_11553257	Denmark	BA.2
EPI_ISL_10580501	Denmark	BA.2
EPI_ISL_10891431	Denmark	BA.2
EPI_ISL_10750522	Germany	BA.2
EPI_ISL_8926334	Denmark	BA.2
EPI_ISL_9447713	Denmark	BA.2
EPI_ISL_10060149	Denmark	BA.2
EPI_ISL_11675874	Spain	BA.2
EPI_ISL_11371435	France	BA.2
EPI_ISL_12103420	United Kingdom	BA.2
EPI_ISL_11305546	United Kingdom	BA.2
EPI_ISL_12191576	Germany	BA.2
EPI_ISL_10587439	Denmark	BA.2
EPI_ISL_9799257	Sweden	BA.2
EPI_ISL_10862212	Denmark	BA.2
EPI_ISL_11030011	Denmark	BA.2
EPI_ISL_11346099	Denmark	BA.2
EPI_ISL_10810221	Denmark	BA.2
EPI_ISL_10319337	Denmark	BA.2
EPI_ISL_11833418	Denmark	BA.2
EPI_ISL_10258799	Denmark	BA.2
EPI_ISL_10511645	Denmark	BA.2
EPI_ISL_11345739	Denmark	BA.2
EPI_ISL_11892902	France	BA.2
EPI_ISL_12189775	Germany	BA.2
EPI_ISL_11425209	France	BA.2
EPI_ISL_11913372	Denmark	BA.2
EPI_ISL_11600812	Spain	BA.2
EPI_ISL_9970272	Denmark	BA.2
EPI_ISL_11962003	Germany	BA.2
EPI_ISL_11277855	Denmark	BA.2
EPI_ISL_10216842	Denmark	BA.2
EPI_ISL_10582350	Denmark	BA.2
EPI_ISL_12164315	Denmark	BA.2
EPI_ISL_10353488	Denmark	BA.2
EPI_ISL_9270428	Denmark	BA.2
EPI_ISL_11381456	Denmark	BA.2
EPI_ISL_9900197	Denmark	BA.2
EPI_ISL_10860195	Denmark	BA.2
EPI_ISL_10062549	Denmark	BA.2
EPI_ISL_11996654	United Kingdom	BA.2
EPI_ISL_11456110	Germany	BA.2
EPI_ISL_11995267	Croatia	BA.2
EPI_ISL_11813040	United Kingdom	BA.2
EPI_ISL_11207219	Belgium	BA.2
EPI_ISL_9596972	Sweden	BA.2
EPI_ISL_12159888	Denmark	BA.2
EPI_ISL_12185020	Canary Islands	BA.2
EPI_ISL_11370603	France	BA.2
EPI_ISL_9123550	Denmark	BA.2
EPI_ISL_11688286	United Kingdom	BA.2
EPI_ISL_11512834	United Kingdom	BA.2
EPI_ISL_11607641	United Kingdom	BA.2
EPI_ISL_11340392	United Kingdom	BA.2
EPI_ISL_10751140	United Kingdom	BA.2
EPI_ISL_11960224	United Kingdom	BA.2
EPI_ISL_10994535	United Kingdom	BA.2
EPI_ISL_12017930	Germany	BA.2
EPI_ISL_11124249	United Kingdom	BA.2
EPI_ISL_11593669	United Kingdom	BA.2
EPI_ISL_11184032	United Kingdom	BA.2
EPI_ISL_11183996	United Kingdom	BA.2
EPI_ISL_11424070	United Kingdom	BA.2
EPI_ISL_11959266	United Kingdom	BA.2
EPI_ISL_12122827	United Kingdom	BA.2
EPI_ISL_10863433	United Kingdom	BA.2
EPI_ISL_10863195	United Kingdom	BA.2
EPI_ISL_11322282	United Kingdom	BA.2
EPI_ISL_11496525	United Kingdom	BA.2
EPI_ISL_11837680	United Kingdom	BA.2
EPI_ISL_11698995	United Kingdom	BA.2
EPI_ISL_10119015	United Kingdom	BA.2
EPI_ISL_11494360	United Kingdom	BA.2
EPI_ISL_11746916	United Kingdom	BA.2
EPI_ISL_10933887	Belgium	BA.2
EPI_ISL_12095426	United Kingdom	BA.2
EPI_ISL_11747921	United Kingdom	BA.2
EPI_ISL_11745864	United Kingdom	BA.2
EPI_ISL_10554219	United Kingdom	BA.2
EPI_ISL_12160109	United Kingdom	BA.2
EPI_ISL_12032040	United Kingdom	BA.2
EPI_ISL_12105370	United Kingdom	BA.2
EPI_ISL_11877540	United Kingdom	BA.2
EPI_ISL_10633133	United Kingdom	BA.2
EPI_ISL_12102708	United Kingdom	BA.2
EPI_ISL_9641764	United Kingdom	BA.2
EPI_ISL_12161663	Denmark	BA.2.9
EPI_ISL_11380717	Denmark	BA.2.9
EPI_ISL_9692470	Denmark	BA.2.9
EPI_ISL_10732939	Sweden	BA.2.9
EPI_ISL_11610196	Germany	BA.2.9
EPI_ISL_11469744	Germany	BA.2.9
EPI_ISL_11744162	United Kingdom	BA.2.9
EPI_ISL_12136718	Sweden	BA.2.9
EPI_ISL_9690044	Denmark	BA.2
EPI_ISL_11782462	Denmark	BA.2
EPI_ISL_12194792	Germany	BA.2
EPI_ISL_11162166	Italy	BA.2
EPI_ISL_11665292	Germany	BA.2
EPI_ISL_11817312	Germany	BA.2
EPI_ISL_11817352	Germany	BA.2
EPI_ISL_9068553	Denmark	BA.2
EPI_ISL_9738741	Denmark	BA.2
EPI_ISL_9495802	Denmark	BA.2
EPI_ISL_9498420	Denmark	BA.2
EPI_ISL_12192951	Germany	BA.2
EPI_ISL_10732439	Denmark	BA.2
EPI_ISL_10860648	Denmark	BA.2
EPI_ISL_10679293	Denmark	BA.2
EPI_ISL_9654700	Denmark	BA.2
EPI_ISL_10633710	Denmark	BA.2
EPI_ISL_9455493	Denmark	BA.2
EPI_ISL_11116971	Denmark	BA.2
EPI_ISL_11153964	United Kingdom	BA.2
EPI_ISL_10859891	United Kingdom	BA.2
EPI_ISL_11876314	Denmark	BA.2
EPI_ISL_11443266	Denmark	BA.2
EPI_ISL_11787680	Denmark	BA.2
EPI_ISL_10678849	Denmark	BA.2
EPI_ISL_10216709	Denmark	BA.2
EPI_ISL_10211917	Denmark	BA.2
EPI_ISL_11723194	Denmark	BA.2
EPI_ISL_12162126	Denmark	BA.2
EPI_ISL_11781789	Denmark	BA.2
EPI_ISL_10201798	Denmark	BA.2
EPI_ISL_10204935	Denmark	BA.2
EPI_ISL_11988350	Denmark	BA.2
EPI_ISL_11647753	Denmark	BA.2
EPI_ISL_9449862	Denmark	BA.2
EPI_ISL_9269524	Denmark	BA.2
EPI_ISL_10983741	Denmark	BA.2
EPI_ISL_9064349	Denmark	BA.2
EPI_ISL_9007663	Denmark	BA.2
EPI_ISL_12191413	Germany	BA.2
EPI_ISL_10983424	Denmark	BA.2
EPI_ISL_10210044	Denmark	BA.2
EPI_ISL_11769424	United Kingdom	BA.2
EPI_ISL_11187147	United Kingdom	BA.2
EPI_ISL_11097008	United Kingdom	BA.2
EPI_ISL_11040867	United Kingdom	BA.2
EPI_ISL_12031038	United Kingdom	BA.2
EPI_ISL_10093973	Denmark	BA.2
EPI_ISL_11242720	France	BA.2
EPI_ISL_11242061	France	BA.2
EPI_ISL_11425472	France	BA.2
EPI_ISL_11824338	France	BA.2
EPI_ISL_11425449	France	BA.2
EPI_ISL_11824747	France	BA.2
EPI_ISL_10718317	France	BA.2
EPI_ISL_11425205	France	BA.2
EPI_ISL_11245744	France	BA.2
EPI_ISL_11242732	France	BA.2
EPI_ISL_11824416	France	BA.2
EPI_ISL_11424595	France	BA.2
EPI_ISL_10718670	France	BA.2
EPI_ISL_11243112	France	BA.2
EPI_ISL_9907463	Israel	BA.2
EPI_ISL_11856272	Israel	BA.2
EPI_ISL_11856284	Israel	BA.2
EPI_ISL_12007871	Israel	BA.2
EPI_ISL_9379221	Israel	BA.2
EPI_ISL_10816544	Israel	BA.2
EPI_ISL_11837824	United Kingdom	BA.2
EPI_ISL_11919470	France	BA.2
EPI_ISL_11968967	United Kingdom	BA.2
EPI_ISL_11225154	United Kingdom	BA.2
EPI_ISL_12205071	United Kingdom	BA.2
EPI_ISL_10499962	France	BA.2
EPI_ISL_11244837	France	BA.2
EPI_ISL_11825097	France	BA.2
EPI_ISL_11915993	France	BA.2
EPI_ISL_11061542	United Kingdom	BA.2
EPI_ISL_10718760	France	BA.2
EPI_ISL_11424544	France	BA.2
EPI_ISL_11607674	United Kingdom	BA.2
EPI_ISL_11242750	France	BA.2
EPI_ISL_10978660	United Kingdom	BA.2
EPI_ISL_11837781	United Kingdom	BA.2
EPI_ISL_11242691	France	BA.2
EPI_ISL_11425373	France	BA.2
EPI_ISL_11825095	France	BA.2
EPI_ISL_11916207	France	BA.2
EPI_ISL_11920005	France	BA.2
EPI_ISL_11245018	France	BA.2
EPI_ISL_11825105	France	BA.2
EPI_ISL_10854473	Israel	BA.2
EPI_ISL_10719091	France	BA.2
EPI_ISL_11084017	France	BA.2
EPI_ISL_11277169	France	BA.2
EPI_ISL_11750853	United Kingdom	BA.2
EPI_ISL_12104394	United Kingdom	BA.2
EPI_ISL_12179676	France	BA.2
EPI_ISL_11612137	Germany	BA.2
EPI_ISL_11661266	Germany	BA.2
EPI_ISL_10747031	Germany	BA.2
EPI_ISL_10718655	France	BA.2
EPI_ISL_11175672	USA	BA.2
EPI_ISL_11347123	United Kingdom	BA.2
EPI_ISL_10633863	Denmark	BA.2
EPI_ISL_10211601	Denmark	BA.2
EPI_ISL_11722353	Denmark	BA.2
EPI_ISL_11025557	Denmark	BA.2
EPI_ISL_12162291	Denmark	BA.2
EPI_ISL_12163741	Denmark	BA.2
EPI_ISL_10217317	Denmark	BA.2
EPI_ISL_10811084	Denmark	BA.2
EPI_ISL_11157799	Denmark	BA.2
EPI_ISL_12138331	Denmark	BA.2
EPI_ISL_11158825	Denmark	BA.2
EPI_ISL_9694776	Denmark	BA.2
EPI_ISL_11028562	Denmark	BA.2
EPI_ISL_11113093	Denmark	BA.2
EPI_ISL_12165327	Denmark	BA.2
EPI_ISL_10731158	Denmark	BA.2
EPI_ISL_9854720	Denmark	BA.2
EPI_ISL_10782807	Sweden	BA.2
EPI_ISL_9360404	Denmark	BA.2
EPI_ISL_10216527	Denmark	BA.2
EPI_ISL_8706660	Denmark	BA.2
EPI_ISL_11817381	Germany	BA.2
EPI_ISL_10731502	Denmark	BA.2
EPI_ISL_9899831	Denmark	BA.2
EPI_ISL_11806511	Denmark	BA.2
EPI_ISL_10097010	Denmark	BA.2
EPI_ISL_11518849	Denmark	BA.2
EPI_ISL_11114525	Denmark	BA.2
EPI_ISL_11158906	Denmark	BA.2
EPI_ISL_11284256	Denmark	BA.2
EPI_ISL_12021707	Denmark	BA.2
EPI_ISL_11316941	Denmark	BA.2
EPI_ISL_11275041	Denmark	BA.2
EPI_ISL_11833585	Denmark	BA.2
EPI_ISL_11723191	Denmark	BA.2
EPI_ISL_12190229	Germany	BA.2
EPI_ISL_11722870	Denmark	BA.2
EPI_ISL_11227285	United Kingdom	BA.2
EPI_ISL_10060157	Denmark	BA.2
EPI_ISL_9828696	United Kingdom	BA.2
EPI_ISL_10913106	Germany	BA.2
EPI_ISL_9007680	Denmark	BA.2
EPI_ISL_10913145	Germany	BA.2
EPI_ISL_10095385	Denmark	BA.2
EPI_ISL_12131981	Italy	BA.2.9
EPI_ISL_11047481	France	BA.2
EPI_ISL_12105671	United Kingdom	BA.2.9
EPI_ISL_11953605	Sweden	BA.2
EPI_ISL_10847292	Poland	BA.2
EPI_ISL_11800931	United Kingdom	BA.2
EPI_ISL_12104406	United Kingdom	BA.2
EPI_ISL_11114365	Denmark	BA.2
EPI_ISL_9236855	Denmark	BA.2
EPI_ISL_9522872	Sweden	BA.2
EPI_ISL_11379931	Denmark	BA.2
EPI_ISL_11030159	Denmark	BA.2
EPI_ISL_11789195	Denmark	BA.2
EPI_ISL_9989634	United Kingdom	BA.2
EPI_ISL_11025754	Denmark	BA.2
EPI_ISL_11644261	Denmark	BA.2
EPI_ISL_11788726	Denmark	BA.2
EPI_ISL_12085828	Germany	BA.2
EPI_ISL_11059981	Germany	BA.2
EPI_ISL_12016694	Germany	BA.2
EPI_ISL_11626657	Germany	BA.2
EPI_ISL_10254920	Poland	BA.2
EPI_ISL_9985209	Poland	BA.2
EPI_ISL_10256068	Poland	BA.2
EPI_ISL_10254828	Poland	BA.2
EPI_ISL_10256374	Poland	BA.2
EPI_ISL_10256100	Poland	BA.2
EPI_ISL_10256058	Poland	BA.2
EPI_ISL_10256060	Poland	BA.2
EPI_ISL_9862460	France	BA.2
EPI_ISL_10348998	Denmark	BA.2
EPI_ISL_11379324	Denmark	BA.2
EPI_ISL_9673229	Poland	BA.2
EPI_ISL_11878310	Denmark	BA.2
EPI_ISL_10893351	Denmark	BA.2
EPI_ISL_11276385	Denmark	BA.2
EPI_ISL_11786647	Denmark	BA.2
EPI_ISL_10731597	Denmark	BA.2
EPI_ISL_10011022	Denmark	BA.2
EPI_ISL_11782846	Denmark	BA.2
EPI_ISL_9502178	Denmark	BA.2
EPI_ISL_10731566	Denmark	BA.2
EPI_ISL_11720634	Denmark	BA.2
EPI_ISL_11028871	Denmark	BA.2
EPI_ISL_11913745	Denmark	BA.2
EPI_ISL_9449661	Denmark	BA.2
EPI_ISL_12014813	Germany	BA.2
EPI_ISL_10904220	Germany	BA.2
EPI_ISL_11675146	Germany	BA.2
EPI_ISL_11782830	Denmark	BA.2
EPI_ISL_10209330	Denmark	BA.2
EPI_ISL_11113552	Denmark	BA.2
EPI_ISL_11786867	Denmark	BA.2
EPI_ISL_11460677	United Kingdom	BA.2
EPI_ISL_12164697	Denmark	BA.2
EPI_ISL_10095568	Denmark	BA.2
EPI_ISL_10732367	Denmark	BA.2
EPI_ISL_10807459	Denmark	BA.2
EPI_ISL_10096436	Denmark	BA.2
EPI_ISL_9359229	Denmark	BA.2
EPI_ISL_11647641	Denmark	BA.2
EPI_ISL_10319512	Denmark	BA.2
EPI_ISL_11209540	Denmark	BA.2
EPI_ISL_9786031	Denmark	BA.2
EPI_ISL_10217532	Denmark	BA.2
EPI_ISL_9904905	Denmark	BA.2
EPI_ISL_8583175	Denmark	BA.2
EPI_ISL_10348936	Denmark	BA.2
EPI_ISL_9365889	Denmark	BA.2
EPI_ISL_10260834	Denmark	BA.2.9
EPI_ISL_10677131	Denmark	BA.2
EPI_ISL_10731540	Denmark	BA.2
EPI_ISL_11380605	Denmark	BA.2
EPI_ISL_11805574	Croatia	BA.2
EPI_ISL_10736059	United Kingdom	BA.2
EPI_ISL_10925534	United Kingdom	BA.2
EPI_ISL_11654971	Germany	BA.2
EPI_ISL_10893733	Denmark	BA.2
EPI_ISL_11029872	Denmark	BA.2
EPI_ISL_11550479	Denmark	BA.2
EPI_ISL_11721025	Denmark	BA.2
EPI_ISL_10204870	Denmark	BA.2
EPI_ISL_10319558	Denmark	BA.2
EPI_ISL_9856779	Denmark	BA.2
EPI_ISL_11275003	Denmark	BA.2
EPI_ISL_9886162	Denmark	BA.2
EPI_ISL_12158445	Denmark	BA.2
EPI_ISL_11346785	Denmark	BA.2
EPI_ISL_10350463	Denmark	BA.2
EPI_ISL_10350226	Denmark	BA.2
EPI_ISL_10319078	Denmark	BA.2
EPI_ISL_10318091	Denmark	BA.2
EPI_ISL_9452767	Denmark	BA.2
EPI_ISL_10064420	Denmark	BA.2
EPI_ISL_11157535	Denmark	BA.2
EPI_ISL_10733229	Denmark	BA.2
EPI_ISL_11522359	Sweden	BA.2
EPI_ISL_11646742	Denmark	BA.2
EPI_ISL_11604499	Germany	BA.2
EPI_ISL_11942407	United Kingdom	BA.2
EPI_ISL_12106738	USA	BA.2
EPI_ISL_12044444	United Kingdom	BA.2
EPI_ISL_11428420	United Kingdom	BA.2
EPI_ISL_11822131	Germany	BA.2
EPI_ISL_11658067	United Kingdom	BA.2
EPI_ISL_11275020	Denmark	BA.2
EPI_ISL_11551986	Denmark	BA.2
EPI_ISL_9855961	Denmark	BA.2
EPI_ISL_11583965	Denmark	BA.2
EPI_ISL_11516671	Denmark	BA.2
EPI_ISL_11781812	Denmark	BA.2
EPI_ISL_10892560	Denmark	BA.2
EPI_ISL_10216529	Denmark	BA.2
EPI_ISL_12137064	Singapore	BA.2.7
EPI_ISL_10678102	Denmark	BA.2.7
EPI_ISL_10876300	USA	BA.2.7
EPI_ISL_11470276	Germany	BA.2.7
EPI_ISL_9692294	Denmark	BA.2
EPI_ISL_11380617	Denmark	BA.2
EPI_ISL_11345744	Denmark	BA.2
EPI_ISL_11696583	USA	BA.2.9
EPI_ISL_10209355	Denmark	BA.2
EPI_ISL_11788344	Denmark	BA.2
EPI_ISL_9691175	Denmark	BA.2
EPI_ISL_10906910	Germany	BA.2
EPI_ISL_9857590	Denmark	BA.2
